path,result,confidence,contrast,sharpness,has_exif,error
dataset/real\20240405_111603.jpg,Real Image 📸,1.0,59.30697681163032,32.66007631655093,True,
dataset/real\20240405_111616.jpg,Real Image 📸,1.0,57.30281357633413,41.36729263117284,True,
dataset/real\20240405_143533.jpg,Real Image 📸,1.0,61.487913730968515,33.369157383294755,True,
dataset/real\20240405_160730.jpg,Real Image 📸,1.0,60.59508397519132,36.54433979552469,True,
dataset/real\20240405_160749.jpg,Real Image 📸,1.0,55.8865227047704,39.83289773823302,True,
dataset/real\20240411_124834.jpg,Real Image 📸,1.0,45.9329123284075,26.352938247492283,True,
dataset/real\20240411_150835.jpg,Real Image 📸,1.0,52.59289331135299,35.599149184992285,True,
dataset/real\20240412_105026.jpg,Real Image 📸,1.0,58.08512586415394,29.681325954861112,True,
dataset/real\20240415_111152.jpg,Real Image 📸,1.0,56.168679986915876,33.5282022810571,True,
dataset/real\20240425_162924.jpg,Real Image 📸,1.0,63.616633052726925,36.324474585262344,True,
dataset/real\20240425_162940.jpg,Real Image 📸,1.0,40.577703837329835,22.217299744405864,True,
dataset/real\20240425_162943.jpg,Real Image 📸,1.0,53.0531748068773,18.206145230516974,True,
dataset/real\20240814_100215.jpg,Real Image 📸,1.0,61.66924325431725,14.98135368441358,True,
dataset/real\20240814_101407.jpg,Real Image 📸,1.0,76.21233907197008,12.915071494020061,True,
dataset/real\20240814_101416.jpg,Real Image 📸,1.0,67.39266716328021,12.407782720871914,True,
dataset/real\20240823_120357.jpg,Real Image 📸,1.0,58.19095208125581,12.559609616126544,True,
dataset/real\20240823_120430.jpg,Real Image 📸,1.0,59.81166203247658,14.002864462770061,True,
dataset/real\20240823_120441.jpg,Real Image 📸,1.0,72.96788651244543,24.643471016589505,True,
dataset/real\20240823_120824.jpg,Real Image 📸,1.0,58.072087028515156,23.684529682677468,True,
dataset/real\20240823_120836.jpg,Real Image 📸,1.0,63.68321656388716,16.187888816550927,True,
dataset/real\20240823_120935.jpg,Real Image 📸,1.0,68.59592782818754,7.855129123263889,True,
dataset/real\20240823_120957.jpg,Real Image 📸,1.0,73.28794195490123,7.598514178240741,True,
dataset/real\20240823_121656.jpg,Real Image 📸,1.0,66.67881382429728,5.991053722993827,True,
dataset/real\20240823_123524.jpg,Real Image 📸,1.0,59.871628380582976,17.99458369502315,True,
dataset/real\20240823_123534.jpg,Real Image 📸,1.0,57.49101620101839,17.42027488425926,True,
dataset/real\20240823_123738.jpg,Real Image 📸,1.0,57.96863149888176,26.505167221257715,True,
dataset/real\20240906_130009.jpg,Real Image 📸,1.0,42.80483825044159,20.531721522955248,True,
dataset/real\20240906_130042.jpg,Real Image 📸,1.0,44.46934691307799,29.227020399305555,True,
dataset/real\20240920_104628.jpg,Real Image 📸,1.0,64.44890978284488,43.51150885269312,True,
dataset/real\20240920_104658.jpg,Real Image 📸,1.0,56.77570657295014,44.272341964993785,True,
dataset/real\20240920_104705.jpg,Real Image 📸,1.0,57.22961693914825,42.00419702516825,True,
dataset/real\20240920_104710.jpg,Real Image 📸,1.0,52.68403478729082,37.13639883870778,True,
dataset/real\20240920_105628.jpg,Real Image 📸,1.0,70.61570041130277,49.112426841536994,True,
dataset/real\20241004_081517.jpg,Real Image 📸,1.0,64.59815979011599,14.988712431144975,True,
dataset/real\20241004_081544.jpg,Real Image 📸,1.0,57.70316322164139,10.903837143802512,True,
dataset/real\20241009_111814.jpg,Real Image 📸,1.0,60.940917933894426,46.378823613924254,True,
dataset/real\20241009_111836.jpg,Real Image 📸,1.0,60.12829664518612,47.30723498518412,True,
dataset/real\20241009_111841.jpg,Real Image 📸,1.0,61.879768158367106,50.746742949727796,True,
dataset/real\20241009_111856.jpg,Real Image 📸,1.0,55.52746535191515,37.16645492742091,True,
dataset/real\20241009_111911.jpg,Real Image 📸,1.0,59.909589545917335,45.8662367246442,True,
dataset/real\20241009_112204.jpg,Real Image 📸,1.0,56.15338538452738,42.66850467048718,True,
dataset/real\20241009_112239.jpg,Real Image 📸,1.0,60.41161826748369,43.57260504409937,True,
dataset/real\20241009_122615.jpg,Real Image 📸,1.0,56.863888148109844,49.524759509762944,True,
dataset/real\20241009_124109.jpg,Real Image 📸,1.0,63.45082334647075,5.488016931771905,True,
dataset/real\20241009_124121.jpg,Real Image 📸,1.0,64.25182921960914,5.387995129913623,True,
dataset/real\20241014_164210.jpg,Real Image 📸,1.0,57.7269044843315,32.192712770731525,True,
dataset/real\20241014_164229.jpg,Real Image 📸,1.0,62.17116378829202,39.60380129297411,True,
dataset/real\20241027_150144.jpg,Real Image 📸,1.0,45.16996468012849,28.112848729263117,True,
dataset/real\20241027_151310.jpg,Real Image 📸,1.0,51.30395955603465,23.39781048726316,True,
dataset/real\20241027_154859.jpg,Real Image 📸,1.0,48.596081774864594,11.55121008685914,True,
dataset/real\IMG_20240929_120952.jpg,Real Image 📸,1.0,61.49626681054669,16.609770535441584,True,
dataset/real\IMG_20241025_071819.jpg,Real Image 📸,1.0,50.08085400436302,5.963978331766011,True,
dataset/real\IMG_20250101_193809.jpg,Real Image 📸,1.0,67.22453818757944,8.180665166666667,True,
dataset/real\IMG_20250101_202420.jpg,Real Image 📸,0.99,66.34131334510751,9.967216431556949,True,
dataset/real\IMG_20250204_142424.jpg,Real Image 📸,1.0,59.99149626090273,9.418519510653775,True,
dataset/real\IMG_20250204_142428.jpg,Real Image 📸,1.0,63.65087098589417,13.81086310241448,True,
dataset/real\IMG_20250204_142448.jpg,Real Image 📸,1.0,64.06794916552734,12.435591772259999,True,
dataset/real\IMG_20250204_142452.jpg,Real Image 📸,1.0,66.50183358504326,13.056386814195923,True,
dataset/real\IMG_20250204_142655.jpg,Real Image 📸,1.0,59.534446580325,11.695020008479617,True,
dataset/real\IMG_20250204_142703.jpg,Real Image 📸,1.0,51.357462939071155,10.065951437616544,True,
dataset/real\IMG_20250210_092702.jpg,Real Image 📸,1.0,51.152970718861475,16.63344790611738,True,
dataset/real\IMG_20250210_115757.jpg,Real Image 📸,1.0,60.0500239290223,21.608326287917148,True,
dataset/real\IMG_20250223_120008.jpg,Real Image 📸,1.0,56.65736778634829,9.377421626338252,True,
dataset/real\IMG_20250223_120044.jpg,Real Image 📸,1.0,49.44402157254991,17.03382634920348,True,
dataset/real\IMG_20250226_111512.jpg,Real Image 📸,1.0,51.613137509516356,21.405259748545202,True,
dataset/real\IMG_20250228_124350.jpg,Real Image 📸,1.0,55.77413156578131,16.588501039355872,True,
dataset/real\IMG_20250228_124414.jpg,Real Image 📸,1.0,61.48194506084248,19.567439138153453,True,
dataset/real\IMG_20250304_093429.jpg,Real Image 📸,1.0,60.03071457722109,5.6828100259411976,True,
dataset/real\IMG_20250307_170354.jpg,Real Image 📸,1.0,60.73686977808868,24.617401123046875,True,
dataset/real\IMG_20250307_170916.jpg,Real Image 📸,1.0,55.191584701973746,7.965997013044946,True,
dataset/real\IMG_20250307_170932.jpg,Real Image 📸,1.0,51.674117652687464,7.480187561286329,True,
dataset/real\IMG_20250323_100103.jpg,Real Image 📸,1.0,55.291813425054904,9.303259013611594,True,
dataset/real\IMG_20250329_102035.jpg,Real Image 📸,1.0,47.80340648699823,16.361345644350404,True,
dataset/real\IMG_20250329_124831.jpg,Real Image 📸,1.0,48.231217154193324,22.0226099461685,True,
dataset/real\IMG_20250329_124836.jpg,Real Image 📸,1.0,46.42181047708986,9.484087971502861,True,
dataset/real\IMG_20250331_182101.jpg,Real Image 📸,1.0,61.44750451272246,18.595613518860116,True,
dataset/real\IMG_20250401_090254.jpg,Real Image 📸,1.0,54.76697094409916,21.76775444878472,True,
dataset/real\IMG_20250414_085201.jpg,Real Image 📸,1.0,79.20271451736048,11.550254413620435,True,
dataset/real\IMG_20250606_185101.jpg,Real Image 📸,1.0,40.83442865238743,5.1885625266243895,True,
dataset/real\IMG_20250711_113709.jpg,Real Image 📸,1.0,62.253798153329626,19.82024449477961,True,
dataset/real\IMG_20250716_124949.jpg,Real Image 📸,1.0,62.35960632282786,7.179067855018647,True,
dataset/real\IMG_20250723_125702.jpg,Real Image 📸,1.0,49.61568289160361,20.400675204555686,True,
dataset/real\IMG_20250723_125749.jpg,Real Image 📸,1.0,71.81278057101521,9.731339945224088,True,
dataset/real\IMG_20250723_130206.jpg,Real Image 📸,1.0,65.22526074402803,12.169938326863104,True,
dataset/real\IMG_20250826_220652.jpg,Real Image 📸,1.0,63.54893842221922,4.076129991821792,True,
dataset/real\IMG_20250829_093151.jpg,Real Image 📸,1.0,46.20384003554817,22.39907070834941,True,
dataset/real\IMG_20250830_132023.jpg,Real Image 📸,1.0,44.20181485465194,39.12732216163918,True,
dataset/real\IMG_20250913_102716.jpg,Real Image 📸,1.0,59.96739501426983,11.069249282648533,True,
dataset/real\IMG_20250913_102858.jpg,Real Image 📸,1.0,50.71614007088357,3.340614978178048,True,
dataset/real\IMG_20250913_103042.jpg,Real Image 📸,1.0,64.63504262156266,7.552718299897119,True,
dataset/real\IMG_20250920_092130.jpg,Real Image 📸,1.0,51.692287831059815,1.7779719348797582,True,
dataset/real\IMG_20250920_092141.jpg,Real Image 📸,1.0,52.942201477688826,19.761235178252797,True,
dataset/real\IMG_20250923_094321.jpg,Real Image 📸,1.0,49.327278017404815,11.478424700199332,True,
dataset/real\IMG_20250928_175831.jpg,Real Image 📸,1.0,45.56821170776568,15.984078411212183,True,
dataset/real\IMG_20250928_175857.jpg,Real Image 📸,1.0,44.17778064437557,17.56944990746769,True,
dataset/real\IMG_20250928_175932.jpg,Real Image 📸,1.0,47.40655807164482,3.586789339167591,True,
dataset/real\IMG_20250930_152527_Burst01.jpg,Real Image 📸,1.0,40.864949039994684,21.626293041087962,True,
dataset/real\IMG_20250930_153207.jpg,Real Image 📸,1.0,35.27364642354748,12.609442188906572,True,
dataset/real\IMG_20250930_153229.jpg,Real Image 📸,1.0,42.801837073160705,7.524970223383648,True,
dataset/real\IMG_20251003_222204.jpg,Real Image 📸,1.0,48.05126018663312,4.874123278959297,True,
dataset/real\IMG_20251006_173430.jpg,Real Image 📸,1.0,63.510329232017845,29.109653425805362,True,
dataset/real\IMG_20251006_235443.jpg,Real Image 📸,1.0,51.60757504197353,1.9708834047670718,True,
dataset/real\IMG_20251018_223756.jpg,Real Image 📸,1.0,57.9869140333832,5.693031907572177,True,
dataset/real\IMG_20251028_084720.jpg,Real Image 📸,1.0,58.50000827297789,11.415940691577719,True,
dataset/real\IMG_20251029_115947.jpg,Real Image 📸,1.0,62.61381996880645,10.620321726439258,True,
dataset/real\IMG_20251029_143650.jpg,Real Image 📸,1.0,39.078609143009764,12.786170907144847,True,
dataset/real\IMG_20251101_064727.jpg,Real Image 📸,1.0,47.05405930680934,20.374092426483195,True,
dataset/real\IMG_20251101_064751.jpg,Real Image 📸,1.0,60.2260456636252,12.959040637860083,True,
dataset/real\IMG_20251101_064807.jpg,Real Image 📸,1.0,41.98385281744612,14.538655012886874,True,
dataset/real\IMG_20251101_065402.jpg,Real Image 📸,1.0,40.51885242066195,21.80028392650463,True,
dataset/real\IMG_20251101_065601.jpg,Real Image 📸,1.0,50.41014432637245,6.774756328232168,True,
dataset/real\IMG_20251101_065608.jpg,Real Image 📸,1.0,59.70519851935443,6.570084853100352,True,
dataset/real\IMG_20251101_065618.jpg,Real Image 📸,1.0,67.70217473047258,9.294993375718022,True,
dataset/real\IMG_20251101_065644.jpg,Real Image 📸,1.0,57.74361304627681,9.421535999523105,True,
dataset/real\IMG_20251101_101820.jpg,Real Image 📸,1.0,51.66946819299336,16.63098646878215,True,
dataset/real\IMG_20251101_145145.jpg,Real Image 📸,1.0,41.87076797620662,16.10560773266032,True,
dataset/real\IMG_20251101_145346.jpg,Real Image 📸,1.0,64.72553656545966,7.709990241072959,True,
dataset/real\IMG_20251101_145613.jpg,Real Image 📸,1.0,43.00689170260518,9.206631298091349,True,
dataset/real\IMG_20251102_153458.jpg,Real Image 📸,1.0,44.15021972269726,11.359271265351722,True,
dataset/real\IMG_20251117_110437.jpg,Real Image 📸,1.0,43.17639469647612,21.95052855691792,True,
dataset/real\IMG_20251117_112521.jpg,Real Image 📸,1.0,48.9586837483484,2.5475558685177147,True,
dataset/real\IMG_20251128_220641.jpg,Real Image 📸,1.0,49.97467395295505,4.590452343348122,True,
dataset/real\IMG_20251128_220709.jpg,Real Image 📸,1.0,70.72562914498252,2.6780217802573625,True,
dataset/real\IMG_20251128_220713.jpg,Real Image 📸,1.0,49.215686659144254,3.419447282704797,True,
dataset/real\IMG_20251128_220718.jpg,Real Image 📸,1.0,47.05146705170831,3.460110134548611,True,
dataset/real\IMG_20251128_220721.jpg,Real Image 📸,1.0,53.36437875873151,3.347571918503247,True,
dataset/real\IMG_20251128_220727.jpg,Real Image 📸,1.0,43.4492107719757,4.030938921641911,True,
dataset/real\IMG_20251128_220735.jpg,Real Image 📸,1.0,55.9665027826798,5.657993143968621,True,
dataset/real\IMG_20251128_220741.jpg,Real Image 📸,1.0,46.81010121320774,4.249991083341371,True,
dataset/real\IMG_20251128_220752.jpg,Real Image 📸,1.0,41.41830785894569,4.064762507937082,True,
dataset/real\IMG_20251128_220802.jpg,Real Image 📸,1.0,41.84438039906053,2.894351346993152,True,
dataset/real\IMG_20251128_220812.jpg,Real Image 📸,1.0,34.468148064150945,1.986350039886349,True,
dataset/real\IMG_20251128_220904.jpg,Real Image 📸,1.0,24.83726897600718,6.839049539448302,True,
